data\SRS\sig10_15_25\srs_108.txt;srs_108.txt;MaxSAT (Tseitin);0,07;2,71;2,78;23;['F0', 'F1', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F2', 'F20', 'F21', 'F22', 'F23', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8'];['A0:b', 'A1:t', 'A2:b', 'A3:b', 'A4:b', 'A5:f', 'A6:b', 'A7:b', 'A8:b', 'A9:t'];346
data\SRS\sig10_15_25\srs_109.txt;srs_109.txt;MaxSAT (Naiv);0,27;1,99;2,27;20;['F0', 'F1', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F2', 'F20', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9'];['A0:t', 'A1:f', 'A2:b', 'A3:b', 'A4:t', 'A5:t', 'A6:b', 'A7:b', 'A8:b', 'A9:b'];150
data\SRS\sig10_15_25\srs_109.txt;srs_109.txt;MaxSAT (Tseitin);0,93;1,44;2,37;20;['F0', 'F1', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F2', 'F20', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9'];['A0:t', 'A1:b', 'A2:b', 'A3:b', 'A4:t', 'A5:b', 'A6:b', 'A7:b', 'A8:b', 'A9:b'];295
data\SRS\sig10_15_25\srs_11.txt;srs_11.txt;MaxSAT (Naiv);0,81;0,51;1,33;18;['F0', 'F1', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9'];['A0:b', 'A1:f', 'A2:f', 'A3:b', 'A4:t', 'A5:b', 'A6:b', 'A7:t', 'A8:t', 'A9:f'];129
data\SRS\sig10_15_25\srs_11.txt;srs_11.txt;MaxSAT (Tseitin);2,24;0,00;2,24;18;['F0', 'F1', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9'];['A0:b', 'A1:f', 'A2:t', 'A3:b', 'A4:b', 'A5:b', 'A6:b', 'A7:b', 'A8:f', 'A9:b'];278
data\SRS\sig10_15_25\srs_110.txt;srs_110.txt;MaxSAT (Naiv);0,19;1,75;1,94;22;['F0', 'F1', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F2', 'F20', 'F21', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9'];['A0:b', 'A1:b', 'A2:f', 'A3:b', 'A4:b', 'A5:b', 'A6:t', 'A7:b', 'A8:b', 'A9:f'];143
data\SRS\sig10_15_25\srs_110.txt;srs_110.txt;MaxSAT (Tseitin);2,52;0,00;2,52;22;['F0', 'F1', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F2', 'F20', 'F21', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9'];['A0:b', 'A1:b', 'A2:b', 'A3:b', 'A4:b', 'A5:b', 'A6:t', 'A7:b', 'A8:b', 'A9:f'];314
data\SRS\sig10_15_25\srs_111.txt;srs_111.txt;MaxSAT (Naiv);1,04;1,32;2,36;13;['F0', 'F1', 'F10', 'F11', 'F12', 'F13', 'F14', 'F2', 'F3', 'F6', 'F7', 'F8', 'F9'];['A0:f', 'A1:b', 'A2:t', 'A3:b', 'A4:b', 'A5:b', 'A6:b', 'A7:t', 'A9:t'];133
data\SRS\sig10_15_25\srs_111.txt;srs_111.txt;MaxSAT (Tseitin);-0,73;2,95;2,22;13;['F0', 'F1', 'F10', 'F11', 'F12', 'F13', 'F14', 'F2', 'F3', 'F6', 'F7', 'F8', 'F9'];['A0:b', 'A1:b', 'A2:t', 'A3:b', 'A4:b', 'A5:b', 'A6:b', 'A7:t', 'A9:f'];267
data\SRS\sig10_15_25\srs_112.txt;srs_112.txt;MaxSAT (Naiv);1,29;0,00;1,29;14;['F0', 'F1', 'F10', 'F11', 'F13', 'F15', 'F16', 'F2', 'F3', 'F4', 'F5', 'F7', 'F8', 'F9'];['A0:f', 'A1:t', 'A2:b', 'A3:b', 'A4:t', 'A5:t', 'A6:f', 'A7:b', 'A8:b', 'A9:b'];117
data\SRS\sig10_15_25\srs_112.txt;srs_112.txt;MaxSAT (Tseitin);2,11;0,00;2,11;14;['F0', 'F1', 'F10', 'F11', 'F13', 'F15', 'F16', 'F2', 'F3', 'F4', 'F5', 'F7', 'F8', 'F9'];['A0:f', 'A1:t', 'A2:b', 'A3:b', 'A4:t', 'A5:t', 'A6:f', 'A7:b', 'A8:b', 'A9:b'];235
data\SRS\sig10_15_25\srs_113.txt;srs_113.txt;MaxSAT (Naiv);-0,63;2,35;1,72;22;['F0', 'F1', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F2', 'F20', 'F21', 'F22', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9'];['A0:b', 'A1:f', 'A2:b', 'A3:b', 'A4:b', 'A5:b', 'A6:t', 'A7:t', 'A8:t', 'A9:t'];141
data\SRS\sig10_15_25\srs_113.txt;srs_113.txt;MaxSAT (Tseitin);-1,52;4,55;3,04;22;['F0', 'F1', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F2', 'F20', 'F21', 'F22', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9'];['A0:b', 'A1:b', 'A2:b', 'A3:b', 'A4:b', 'A5:b', 'A6:b', 'A7:t', 'A8:t', 'A9:t'];293
data\SRS\sig10_15_25\srs_114.txt;srs_114.txt;MaxSAT (Naiv);-0,30;1,77;1,47;10;['F0', 'F11', 'F13', 'F15', 'F16', 'F18', 'F2', 'F6', 'F7', 'F9'];['A0:t', 'A1:t', 'A2:f', 'A3:b', 'A4:f', 'A5:f', 'A6:b', 'A7:t', 'A8:t', 'A9:f'];133
data\SRS\sig10_15_25\srs_114.txt;srs_114.txt;MaxSAT (Tseitin);0,20;2,35;2,55;10;['F0', 'F11', 'F13', 'F15', 'F16', 'F18', 'F2', 'F6', 'F7', 'F9'];['A0:t', 'A1:t', 'A2:f', 'A3:b', 'A4:f', 'A5:f', 'A6:b', 'A7:t', 'A8:t', 'A9:f'];295
