filepath;filename;solver;solve-time (ms);parse-time (ms);runtime (ms);IFC;inconsistent_formulas;atoms_valued_both
data\Dataset_A\sig10_15_25\srs_2.txt;srs_2.txt;MaxSAT;0,00;1,25;1,25;18;['F1', 'F2', 'F3', 'F5', 'F6', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20'];['A0:b', 'A1:t', 'A2:t', 'A3:b', 'A4:t', 'A5:b', 'A6:t', 'A7:b', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_20.txt;srs_20.txt;ASP;4,26;1,43;5,69;24;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21', 'F22', 'F23'];['A0:b', 'A1:f', 'A2:b', 'A3:b', 'A4:b', 'A5:b', 'A6:t', 'A7:b', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_20.txt;srs_20.txt;MaxSAT;0,00;6,72;6,72;24;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21', 'F22', 'F23'];['A0:b', 'A1:f', 'A2:b', 'A3:b', 'A4:b', 'A5:b', 'A6:t', 'A7:b', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_21.txt;srs_21.txt;ASP;27,01;1,41;28,42;6;['F0', 'F4', 'F6', 'F7', 'F11', 'F16'];['A0:t', 'A1:t', 'A2:t', 'A3:b', 'A4:t', 'A5:f', 'A6:t', 'A7:t', 'A8:t', 'A9:f']
data\Dataset_A\sig10_15_25\srs_21.txt;srs_21.txt;MaxSAT;1,11;1,13;2,24;6;['F0', 'F4', 'F6', 'F7', 'F11', 'F16'];['A0:t', 'A1:t', 'A2:t', 'A3:b', 'A4:t', 'A5:t', 'A6:t', 'A7:t', 'A8:t', 'A9:f']
data\Dataset_A\sig10_15_25\srs_22.txt;srs_22.txt;ASP;14,56;0,00;14,56;22;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21', 'F22', 'F23', 'F24'];['A0:b', 'A1:b', 'A2:t', 'A3:b', 'A4:b', 'A5:t', 'A6:b', 'A7:b', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_22.txt;srs_22.txt;MaxSAT;0,00;2,29;2,29;22;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21', 'F22', 'F23', 'F24'];['A0:b', 'A1:b', 'A2:t', 'A3:b', 'A4:t', 'A5:t', 'A6:b', 'A7:f', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_23.txt;srs_23.txt;ASP;16,83;0,00;16,83;15;['F0', 'F1', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F10', 'F12', 'F13', 'F14', 'F16', 'F17', 'F18'];['A0:b', 'A1:b', 'A2:f', 'A3:b', 'A4:t', 'A5:b', 'A6:b', 'A7:f', 'A8:f', 'A9:b']
data\Dataset_A\sig10_15_25\srs_23.txt;srs_23.txt;MaxSAT;0,00;0,71;0,71;15;['F0', 'F1', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F10', 'F12', 'F13', 'F14', 'F16', 'F17', 'F18'];['A0:b', 'A1:b', 'A2:f', 'A3:b', 'A4:t', 'A5:b', 'A6:b', 'A7:t', 'A8:t', 'A9:f']
data\Dataset_A\sig10_15_25\srs_24.txt;srs_24.txt;ASP;3,61;1,14;4,75;17;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F17', 'F18'];['A0:b', 'A1:b', 'A2:b', 'A3:b', 'A4:b', 'A5:f', 'A6:b', 'A7:t', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_24.txt;srs_24.txt;MaxSAT;0,00;1,10;1,10;17;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F15', 'F17', 'F18'];['A0:t', 'A1:b', 'A2:b', 'A3:f', 'A4:b', 'A5:b', 'A6:b', 'A7:t', 'A8:t', 'A9:b']
data\Dataset_A\sig10_15_25\srs_25.txt;srs_25.txt;ASP;5,78;0,00;5,78;19;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F14', 'F16', 'F17', 'F18', 'F19', 'F20'];['A0:b', 'A1:b', 'A2:t', 'A3:b', 'A4:b', 'A5:t', 'A6:b', 'A7:b', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_25.txt;srs_25.txt;MaxSAT;0,00;10,09;10,09;19;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F14', 'F16', 'F17', 'F18', 'F19', 'F20'];['A0:b', 'A1:b', 'A2:t', 'A3:b', 'A4:b', 'A5:t', 'A6:b', 'A7:b', 'A8:b', 'A9:t']
data\Dataset_A\sig10_15_25\srs_26.txt;srs_26.txt;ASP;8,69;0,00;8,69;24;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21', 'F22', 'F23'];['A0:f', 'A1:b', 'A2:b', 'A3:b', 'A4:b', 'A5:b', 'A6:b', 'A7:b', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_26.txt;srs_26.txt;MaxSAT;0,00;2,39;2,39;24;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21', 'F22', 'F23'];['A0:b', 'A1:b', 'A2:b', 'A3:b', 'A4:b', 'A5:b', 'A6:b', 'A7:b', 'A8:b', 'A9:f']
data\Dataset_A\sig10_15_25\srs_27.txt;srs_27.txt;ASP;7,13;0,00;7,13;14;['F0', 'F2', 'F3', 'F4', 'F5', 'F6', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F15', 'F16'];['A0:b', 'A1:t', 'A2:b', 'A3:b', 'A4:f', 'A5:b', 'A6:b', 'A7:f', 'A8:t', 'A9:b']
data\Dataset_A\sig10_15_25\srs_27.txt;srs_27.txt;MaxSAT;0,00;0,00;0,00;14;['F0', 'F2', 'F3', 'F4', 'F5', 'F6', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F15', 'F16'];['A0:b', 'A1:t', 'A2:b', 'A3:t', 'A4:t', 'A5:b', 'A6:b', 'A7:t', 'A8:t', 'A9:b']
data\Dataset_A\sig10_15_25\srs_28.txt;srs_28.txt;ASP;5,92;0,00;5,92;14;['F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F12', 'F13', 'F15', 'F16', 'F17'];['A0:b', 'A1:f', 'A2:f', 'A3:b', 'A4:b', 'A5:t', 'A6:t', 'A7:f', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_28.txt;srs_28.txt;MaxSAT;0,00;7,31;7,31;14;['F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F12', 'F13', 'F15', 'F16', 'F17'];['A0:b', 'A1:f', 'A2:f', 'A3:b', 'A4:b', 'A5:t', 'A6:t', 'A7:t', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_29.txt;srs_29.txt;ASP;6,98;0,00;6,98;21;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20'];['A0:b', 'A1:b', 'A2:b', 'A3:b', 'A4:b', 'A5:b', 'A6:b', 'A7:b', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_29.txt;srs_29.txt;MaxSAT;0,00;5,51;5,51;21;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20'];['A0:b', 'A1:t', 'A2:b', 'A3:b', 'A4:t', 'A5:b', 'A6:b', 'A7:b', 'A8:b', 'A9:t']
data\Dataset_A\sig10_15_25\srs_3.txt;srs_3.txt;ASP;5,66;1,50;7,15;22;['F0', 'F1', 'F2', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21', 'F22', 'F23'];['A0:b', 'A1:t', 'A2:b', 'A3:b', 'A4:t', 'A5:b', 'A6:b', 'A7:b', 'A8:t', 'A9:b']
data\Dataset_A\sig10_15_25\srs_3.txt;srs_3.txt;MaxSAT;0,00;8,97;8,97;22;['F0', 'F1', 'F2', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21', 'F22', 'F23'];['A0:b', 'A1:t', 'A2:b', 'A3:b', 'A4:t', 'A5:f', 'A6:b', 'A7:b', 'A8:t', 'A9:b']
data\Dataset_A\sig10_15_25\srs_30.txt;srs_30.txt;ASP;14,02;1,00;15,02;20;['F0', 'F1', 'F3', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21', 'F22'];['A0:t', 'A1:t', 'A2:b', 'A3:f', 'A4:b', 'A5:b', 'A6:b', 'A7:b', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_30.txt;srs_30.txt;MaxSAT;1,03;0,77;1,80;20;['F0', 'F1', 'F3', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21', 'F22'];['A0:t', 'A1:f', 'A2:t', 'A3:t', 'A4:b', 'A5:b', 'A6:b', 'A7:t', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_31.txt;srs_31.txt;ASP;10,12;0,00;10,12;15;['F0', 'F1', 'F2', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F15', 'F16', 'F21'];['A0:b', 'A1:b', 'A2:b', 'A3:f', 'A4:t', 'A5:t', 'A6:b', 'A7:b', 'A8:t', 'A9:t']
data\Dataset_A\sig10_15_25\srs_31.txt;srs_31.txt;MaxSAT;0,00;0,00;0,00;15;['F0', 'F1', 'F2', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F15', 'F16', 'F21'];['A0:b', 'A1:b', 'A2:b', 'A3:f', 'A4:t', 'A5:t', 'A6:b', 'A7:b', 'A8:t', 'A9:t']
data\Dataset_A\sig10_15_25\srs_32.txt;srs_32.txt;ASP;3,00;0,00;3,00;21;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21'];['A0:b', 'A1:b', 'A2:f', 'A3:b', 'A4:b', 'A5:b', 'A6:b', 'A7:b', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_32.txt;srs_32.txt;MaxSAT;0,00;7,73;7,73;21;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21'];['A0:b', 'A1:f', 'A2:f', 'A3:f', 'A4:b', 'A5:b', 'A6:b', 'A7:b', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_33.txt;srs_33.txt;ASP;8,98;0,00;8,98;10;['F0', 'F1', 'F2', 'F3', 'F4', 'F6', 'F7', 'F9', 'F12', 'F14'];['A0:b', 'A1:b', 'A2:t', 'A3:f', 'A4:t', 'A5:b', 'A6:b', 'A7:t', 'A8:f', 'A9:f']
data\Dataset_A\sig10_15_25\srs_33.txt;srs_33.txt;MaxSAT;0,00;1,00;1,00;10;['F0', 'F1', 'F2', 'F3', 'F4', 'F6', 'F7', 'F9', 'F12', 'F14'];['A0:b', 'A1:b', 'A2:t', 'A3:f', 'A4:t', 'A5:b', 'A6:t', 'A7:t', 'A8:f', 'A9:f']
data\Dataset_A\sig10_15_25\srs_34.txt;srs_34.txt;ASP;0,00;0,00;0,00;15;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15'];['A0:b', 'A1:b', 'A2:b', 'A3:b', 'A4:b', 'A5:t', 'A6:b', 'A7:b', 'A8:f', 'A9:b']
data\Dataset_A\sig10_15_25\srs_34.txt;srs_34.txt;MaxSAT;0,00;0,00;0,00;15;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15'];['A0:t', 'A1:b', 'A2:t', 'A3:b', 'A4:b', 'A5:t', 'A6:t', 'A7:t', 'A8:f', 'A9:b']
data\Dataset_A\sig10_15_25\srs_35.txt;srs_35.txt;ASP;5,50;1,30;6,80;12;['F0', 'F2', 'F3', 'F4', 'F5', 'F6', 'F8', 'F9', 'F10', 'F12', 'F13', 'F14'];['A0:f', 'A1:b', 'A2:f', 'A3:b', 'A4:t', 'A5:b', 'A6:t', 'A7:b', 'A8:t', 'A9:b']
data\Dataset_A\sig10_15_25\srs_35.txt;srs_35.txt;MaxSAT;0,00;6,06;6,06;12;['F0', 'F2', 'F3', 'F4', 'F5', 'F6', 'F8', 'F9', 'F10', 'F12', 'F13', 'F14'];['A0:t', 'A1:t', 'A2:t', 'A3:b', 'A4:t', 'A5:b', 'A6:t', 'A7:b', 'A8:t', 'A9:b']
data\Dataset_A\sig10_15_25\srs_36.txt;srs_36.txt;ASP;15,19;0,00;15,19;11;['F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F11', 'F13'];['A0:t', 'A1:t', 'A2:f', 'A3:t', 'A4:f', 'A5:t', 'A6:b', 'A7:b', 'A8:t', 'A9:t']
data\Dataset_A\sig10_15_25\srs_36.txt;srs_36.txt;MaxSAT;0,00;0,00;0,00;11;['F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F11', 'F13'];['A0:t', 'A1:t', 'A2:t', 'A3:t', 'A4:f', 'A5:t', 'A6:b', 'A7:b', 'A8:t', 'A9:t']
data\Dataset_A\sig10_15_25\srs_37.txt;srs_37.txt;ASP;15,56;1,02;16,58;23;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21', 'F22', 'F23'];['A0:b', 'A1:b', 'A2:b', 'A3:b', 'A4:b', 'A5:b', 'A6:t', 'A7:b', 'A8:b', 'A9:f']
data\Dataset_A\sig10_15_25\srs_37.txt;srs_37.txt;MaxSAT;0,00;1,02;1,02;23;['F0', 'F1', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21', 'F22', 'F23', 'F24'];['A0:t', 'A1:b', 'A2:f', 'A3:t', 'A4:b', 'A5:b', 'A6:t', 'A7:t', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_38.txt;srs_38.txt;ASP;13,87;0,00;13,87;18;['F0', 'F1', 'F2', 'F3', 'F4', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F13', 'F14', 'F15', 'F17', 'F19', 'F21', 'F22'];['A0:t', 'A1:t', 'A2:b', 'A3:b', 'A4:b', 'A5:b', 'A6:t', 'A7:b', 'A8:f', 'A9:b']
data\Dataset_A\sig10_15_25\srs_38.txt;srs_38.txt;MaxSAT;0,00;0,00;0,00;18;['F0', 'F1', 'F2', 'F3', 'F4', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F13', 'F14', 'F15', 'F17', 'F19', 'F21', 'F22'];['A0:t', 'A1:t', 'A2:b', 'A3:t', 'A4:b', 'A5:b', 'A6:t', 'A7:t', 'A8:f', 'A9:b']
data\Dataset_A\sig10_15_25\srs_39.txt;srs_39.txt;ASP;10,72;2,50;13,22;23;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F20', 'F21', 'F22', 'F23'];['A0:b', 'A1:t', 'A2:b', 'A3:b', 'A4:f', 'A5:b', 'A6:b', 'A7:b', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_39.txt;srs_39.txt;MaxSAT;0,00;1,49;1,49;23;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F20', 'F21', 'F22', 'F23'];['A0:t', 'A1:t', 'A2:t', 'A3:f', 'A4:f', 'A5:b', 'A6:b', 'A7:b', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_4.txt;srs_4.txt;ASP;11,47;1,02;12,49;19;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F14', 'F15', 'F16', 'F17', 'F19', 'F20'];['A0:b', 'A1:b', 'A2:b', 'A3:t', 'A4:b', 'A5:b', 'A6:b', 'A7:t', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_4.txt;srs_4.txt;MaxSAT;0,00;1,00;1,00;19;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F14', 'F15', 'F16', 'F17', 'F19', 'F20'];['A0:b', 'A1:b', 'A2:t', 'A3:t', 'A4:b', 'A5:f', 'A6:b', 'A7:t', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_40.txt;srs_40.txt;ASP;12,25;1,02;13,27;18;['F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F17', 'F18', 'F19'];['A0:b', 'A1:b', 'A2:b', 'A3:f', 'A4:b', 'A5:b', 'A6:t', 'A7:b', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_40.txt;srs_40.txt;MaxSAT;1,00;1,03;2,03;18;['F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F17', 'F18', 'F19'];['A0:b', 'A1:b', 'A2:t', 'A3:f', 'A4:b', 'A5:f', 'A6:t', 'A7:b', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_41.txt;srs_41.txt;ASP;7,51;0,00;7,51;18;['F0', 'F1', 'F2', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19'];['A0:f', 'A1:b', 'A2:b', 'A3:b', 'A4:b', 'A5:b', 'A6:f', 'A7:b', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_41.txt;srs_41.txt;MaxSAT;0,00;1,30;1,30;18;['F0', 'F1', 'F2', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19'];['A0:f', 'A1:t', 'A2:f', 'A3:b', 'A4:t', 'A5:b', 'A6:f', 'A7:b', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_42.txt;srs_42.txt;ASP;9,13;0,00;9,13;25;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21', 'F22', 'F23', 'F24'];['A0:b', 'A1:b', 'A2:b', 'A3:b', 'A4:b', 'A5:b', 'A6:b', 'A7:b', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_42.txt;srs_42.txt;MaxSAT;1,25;1,19;2,45;25;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21', 'F22', 'F23', 'F24'];['A0:b', 'A1:b', 'A2:t', 'A3:b', 'A4:t', 'A5:b', 'A6:t', 'A7:b', 'A8:b', 'A9:f']
data\Dataset_A\sig10_15_25\srs_43.txt;srs_43.txt;ASP;4,84;0,00;4,84;12;['F0', 'F1', 'F2', 'F4', 'F5', 'F6', 'F7', 'F8', 'F10', 'F11', 'F13', 'F14'];['A0:t', 'A1:t', 'A2:b', 'A3:b', 'A4:f', 'A5:b', 'A6:t', 'A7:b', 'A8:b']
data\Dataset_A\sig10_15_25\srs_43.txt;srs_43.txt;MaxSAT;0,00;0,00;0,00;12;['F0', 'F1', 'F2', 'F4', 'F5', 'F6', 'F7', 'F8', 'F10', 'F11', 'F13', 'F14'];['A0:t', 'A1:t', 'A2:b', 'A3:b', 'A4:t', 'A5:b', 'A6:t', 'A7:t', 'A8:b']
data\Dataset_A\sig10_15_25\srs_44.txt;srs_44.txt;ASP;13,40;1,29;14,70;17;['F0', 'F3', 'F5', 'F6', 'F7', 'F9', 'F10', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21'];['A0:f', 'A1:b', 'A2:b', 'A3:b', 'A4:t', 'A5:b', 'A6:b', 'A7:t', 'A8:f', 'A9:t']
data\Dataset_A\sig10_15_25\srs_44.txt;srs_44.txt;MaxSAT;0,00;0,00;0,00;17;['F0', 'F3', 'F5', 'F6', 'F7', 'F9', 'F10', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21'];['A0:f', 'A1:b', 'A2:b', 'A3:t', 'A4:t', 'A5:b', 'A6:b', 'A7:t', 'A8:f', 'A9:t']
data\Dataset_A\sig10_15_25\srs_45.txt;srs_45.txt;ASP;10,03;1,52;11,54;15;['F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F16', 'F17'];['A0:b', 'A1:b', 'A2:b', 'A3:b', 'A4:t', 'A5:t', 'A6:t', 'A7:t', 'A8:t', 'A9:b']
data\Dataset_A\sig10_15_25\srs_45.txt;srs_45.txt;MaxSAT;0,00;0,00;0,00;15;['F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F16', 'F17'];['A0:b', 'A1:t', 'A2:b', 'A3:b', 'A4:t', 'A5:t', 'A6:t', 'A7:t', 'A8:t', 'A9:b']
data\Dataset_A\sig10_15_25\srs_46.txt;srs_46.txt;ASP;11,29;1,00;12,29;17;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F16', 'F17', 'F18'];['A0:t', 'A1:b', 'A2:t', 'A3:b', 'A4:b', 'A5:f', 'A6:b', 'A7:t', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_46.txt;srs_46.txt;MaxSAT;0,99;0,77;1,77;17;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F16', 'F17', 'F18'];['A0:t', 'A1:b', 'A2:t', 'A3:b', 'A4:b', 'A5:t', 'A6:f', 'A7:t', 'A8:t', 'A9:b']
data\Dataset_A\sig10_15_25\srs_47.txt;srs_47.txt;ASP;20,19;0,00;20,19;9;['F0', 'F1', 'F5', 'F7', 'F8', 'F10', 'F11', 'F12', 'F17'];['A0:f', 'A1:t', 'A2:t', 'A3:f', 'A4:t', 'A5:f', 'A6:b', 'A7:t', 'A8:b', 'A9:t']
data\Dataset_A\sig10_15_25\srs_47.txt;srs_47.txt;MaxSAT;0,00;1,00;1,00;9;['F0', 'F1', 'F5', 'F7', 'F8', 'F10', 'F11', 'F12', 'F17'];['A0:f', 'A1:t', 'A2:t', 'A3:t', 'A4:t', 'A5:f', 'A6:b', 'A7:t', 'A8:b', 'A9:t']
data\Dataset_A\sig10_15_25\srs_48.txt;srs_48.txt;ASP;17,83;0,00;17,83;16;['F0', 'F2', 'F3', 'F4', 'F6', 'F7', 'F9', 'F10', 'F12', 'F13', 'F14', 'F15', 'F17', 'F19', 'F22', 'F23'];['A0:t', 'A1:b', 'A2:t', 'A3:b', 'A4:b', 'A5:b', 'A6:t', 'A7:f', 'A8:t', 'A9:t']
data\Dataset_A\sig10_15_25\srs_48.txt;srs_48.txt;MaxSAT;0,00;1,37;1,37;16;['F0', 'F2', 'F3', 'F4', 'F6', 'F7', 'F9', 'F10', 'F12', 'F13', 'F14', 'F15', 'F17', 'F19', 'F22', 'F23'];['A0:t', 'A1:b', 'A2:t', 'A3:b', 'A4:b', 'A5:b', 'A6:t', 'A7:f', 'A8:t', 'A9:t']
data\Dataset_A\sig10_15_25\srs_49.txt;srs_49.txt;ASP;7,90;1,00;8,90;22;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21'];['A0:b', 'A1:b', 'A2:t', 'A3:b', 'A4:b', 'A5:b', 'A6:b', 'A7:b', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_49.txt;srs_49.txt;MaxSAT;0,00;1,40;1,40;22;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21'];['A0:b', 'A1:b', 'A2:t', 'A3:b', 'A4:b', 'A5:b', 'A6:b', 'A7:b', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_5.txt;srs_5.txt;ASP;0,00;0,60;0,60;15;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14'];['A0:b', 'A1:b', 'A2:b', 'A4:b', 'A5:b', 'A6:b', 'A7:b', 'A8:b', 'A9:f']
